reviews
"
Look is very bad. Not satisfy......please don't buy this.
"
"
Price wise Very good Product 👍
"
"
This shoe is total waste of money. It's cheap but quality is even cheaper. Opening of the shoe is very narrow and fixed. if your size is 9 or 10, you will face difficulty wearing it. Even small pebbles on road makes damaging hole in the sole. The sole is very weak and soft.
"
"
Waste of money, damaged, only one month used this product from deliver date to 27 Jan. 21,  and his shole cracked and damage, so plz. How can I refund the material if possible then suggest to us. Otherwise thanks for waste of my money 💰.
"
"




                    The media could not be loaded.
                



 Worst product. Please dont buy. Cheaters painted at the bottom and very poor quality product. Frudulance.Image given was extremely different.Looks like a local school shoeAmazon team should be responsible for such sellers.
"
"
This shoe is not fit for jogging purpose but can use for normal casual purpose. I felt little Uncomfortable while walking. Sole seems not good.With this price (Rs 259), we can't expect too much comfort as we are getting from international branded shoes.
"
"
Delivered as promised, Fitting is good, Quality is worth. Only problem is with packaging, only 1 star for packaging. Box is damaged. Product is dusty like it's used. Distributor should ensure that while packing the product must be cleaned and then packed.Rest quality and comfort is worth at this price.
"
"
such a substandard product, not fit for a platform like amazon to allow them to trade on its space.  Product not even worth for Rs. 99/- ( a basic sandals price in India).  Totally disappointed with the product had to dispose off it in the trash bin.
"
"
Design is different from the display pic. Product not the same. Overall quality of material is also different from the picture; poor quality material. Looks like a cheap copy of the original product.
"
"
The Shoes is hard from inside please if possible give shoes sole also over all good product form people who walk not for jogging
"
"
This product is not worth for money and dabba productSee amazon your company named across world but are selling these types of poor quality products am ashamed of you
"
"
your product is not as it is as well as the pictures
"
"
I've been using it for like a year now, but it still amuses me.. my gawd I never thought that the shoe will go on for this long. I use it for gym, running, trekking and even casually but it's going great. I think you really should go for it!!!!
"
"
Nice shoe ..... With good comfort
"
"
According to the number, shoe is a bit long in size.
"
"
Little bit disappointed because it is totally different from what I ordered...but the shoes for this range is good
"
"
Product as described in the app
"
"




                    The media could not be loaded.
                



 Pathetic condition!!!! Never expected such a filthy quantity of the shoe from a brand like AMAZON!!The pair looks worn out and sent used…. Is this the way????
"
"
Good product
"
"
Material is not ok dikhta kuch h real me kuch alag h
"
"
I have used it for only 1 day when I saw the shoe it was little damaged so I initiated the return request now the delivery guy is like I can't take the shoe u have used it
"
"
The product must be given in a packaging box. Also the quality is not that high as it is shown but it is acceptable at this price.
"
"
Package completely damaged moreover shoes are used. Pathetic
"
"
I thought it would be the same as they showed in pictures but unfortunately it's not the same as I saw pics
"
"
i like this shoee..
"
"
Very bad shoe, not even six months but the sole went off, holes in both feet below, this is d first time I faced this issue actually.pls do not buy this product
"
"
I want to return this product it's comes the same as in the box so plz re return this item I want my money backPlz give me the product that is comfortable to me
"
"




                    The media could not be loaded.
                



 Shoes ka Sol hai vo barabar nahi hai pair par pain karta hai product sahinahi hai to muje refund chahiye
"
"
The product was poor in quality not same as mentioned above full of dust and used one poor material quality not even worth 1 star poor stretches
"
"
Quality Wise it's not that perfect .....but when I were it ....it's comfortable Cozzy & light Weight
"
"
The material is hopeless and not sturdy. Not worth the money.
"
"




                    The media could not be loaded.
                



 It's a good product. Comfortable to wear
"
"




                    The media could not be loaded.
                



 This is worst product from seller and don't buy...
"
"




                    The media could not be loaded.
                



 Worst experience
"
"
Product is good but shipping was high...
"
"
Product fit from center
"
"
Nice shoes
"
"
Try to sell some quality products or Don't sell low range products...... Don't ruin the good name of Amazon by sell this kind of item's 👍
"
"
looking good nd super stylis product
"
"
I purchased it on 23sep 2021 and its already broken on 12 nov 2021.
"
"
Ist was amazing... It's simple use this product...  Qulit high... Price low best show for man
"
"




                    The media could not be loaded.
                



 Dislike  ,. No
"
